sample,species,trt,both_thread,sample,RNA_box,location,conc_ng_uL-1,vol_uL,yield_ng,yield_ug,add_sample,add_water,total_vol,RNA_ug,conc_ng_uL-1,,,,,
124,M. trossulus,T_control_d0,0,T005FX,2,,136,200,27200,27.2,19,41,60,2.58,43,2580,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
125,M. trossulus,T_control_d0,0,T006FX,2,,106,400,42400,42.4,25,35,60,2.65,44.2,2650,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
126,M. trossulus,T_control_d0,0,T007FX,2,,27.6,50,1380,1.38,100,0,100,2.76,27.6,2760,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
127,M. trossulus,T_control_d0,0,T008FX,2,,172,100,17200,17.2,16,44,60,2.75,45.8,2750,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
128,M. trossulus,T_control_d0,0,T009FX,2,,174,200,34800,34.8,15,45,60,2.61,43.5,2610,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
129,M. trossulus,T_control_d0,0,T010FX,2,,188,50,9400,9.4,14,46,60,2.63,43.8,2630,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
130,M. trossulus,T_control_d0,0,T011FX,2,,116,200,23200,23.2,23,37,60,2.67,44.5,2670,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
131,M. trossulus,T_control_d0,0,T012FX,2,,132,200,26400,26.4,20,40,60,2.64,44,2640,,gill,ol_d0,"M. trossulus, foot_control, control_d0"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
<removed>,M. trossulus,T_DO_d3,1,T047F,1,F5,2.78,100,278,0.278,0,0,0,0,#DIV/0!,,,,,
