LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier,slope_mixed,p_mixed,q_mixed,p_perm_metricwise,p_perm_famwise,p_perm_primary
LOC134720677,adhesion_kpa,45,10.767402087716562,0.28285434936817394,0.9253149574970927,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R),43.033,2.84e-63,genome_blast,TRUE,TRUE,candidate,exploratory,10.751737003924136,0.2827231732522378,0.9102106075353015,1,1,NA
LOC134682955,adhesion_kpa,45,10.985083328777124,0.28364106976980585,0.9253149574970927,Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1),68,0,genome_blast,TRUE,TRUE,candidate,exploratory,11.370354675938444,0.26828459539647376,0.9102106075353015,1,1,NA
LOC134725173,adhesion_kpa,45,7.436232043200543,0.2866386667482759,0.9253149574970927,Glutathione hydrolase-like YwrD proenzyme (EC 2.3.2.2) (Putative gamma-glutamyltransferase YwrD) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase-like YwrD large chain; Glutathione hydrolase-like YwrD small chain],35.478,2.4799999999999998e-89,genome_blast,FALSE,TRUE,candidate,exploratory,7.553693518154884,0.27877357305820244,0.9102106075353015,1,1,NA
LOC134707842,adhesion_kpa,45,12.682390910873204,0.2880275833682108,0.9253149574970927,"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)",52.987,0,genome_blast,TRUE,TRUE,candidate,exploratory,12.569732537402054,0.2917990172785911,0.9102106075353015,1,1,NA
LOC134693958,adhesion_kpa,45,7.5087328113328,0.2887154011730904,0.9253149574970927,Superoxide dismutase [Mn] (EC 1.15.1.1),47.291,1.94e-63,genome_blast,FALSE,TRUE,candidate,exploratory,7.517427969800161,0.2873174902775186,0.9102106075353015,1,1,NA
LOC134711376,adhesion_kpa,45,-11.312373718411605,0.29198863580961343,0.9253149574970927,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha),37.415,4.789999999999999e-110,genome_blast,TRUE,TRUE,candidate,exploratory,-11.384914752536387,0.28814387985585277,0.9102106075353015,1,1,NA
LOC134715354,adhesion_kpa,45,7.176655867952427,0.292293821254617,0.9253149574970927,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma),39.336,4.17e-44,genome_blast,TRUE,TRUE,candidate,exploratory,7.423819108537653,0.27708278781806256,0.9102106075353015,1,1,NA
LOC134725998,adhesion_kpa,45,6.490613088882419,0.2971795687711218,0.9253149574970927,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),32.114,2.1699999999999998e-98,genome_blast,FALSE,TRUE,candidate,exploratory,6.493567553925915,0.2961031161105192,0.9102106075353015,1,1,NA
LOC134693664,adhesion_kpa,45,-7.795115155002485,0.3005696624903062,0.9253149574970927,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Heat shock protein family B member 11) (Placental protein 25) (PP25),49.624,2.02e-41,genome_blast,FALSE,TRUE,candidate,exploratory,-8.070337059604995,0.28495983254396523,0.9102106075353015,1,1,NA
LOC134706748,adhesion_kpa,45,7.294398792401115,0.3012729090137555,0.9253149574970927,Byssal HSP-like protein 1,98.116,0,genome_blast,FALSE,TRUE,candidate,exploratory,7.5651329194302726,0.2849828600678836,0.9102106075353015,1,1,NA
