LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name
LOC134707467,pad_area,46,0.2072508898112995,0.2636485066193435,0.7483258078895136,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1)
LOC134716146,pad_area,46,0.011358125414215681,0.9690589882210545,0.9770439812491553,Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1)
LOC134715482,pad_area,46,-0.8047629974807181,0.2405581168071159,0.7483258078895136,Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)
LOC134692100,pad_area,46,-0.16463727629643463,0.41718382410568333,0.8002390507278719,ACDC (Byssal EP-like protein 1) (EP-protein-1)
LOC134682955,pad_area,46,-0.5681938462326495,0.040784922804503125,0.6423625341709243,Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1)
LOC134720973,pad_area,46,-0.10093457543155271,0.7871622019634421,0.9307721233503129,Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13)
LOC134716385,pad_area,46,-0.11504510265852512,0.3625615929008664,0.8002390507278719,ACDC (Byssal EP-like protein 1) (EP-protein-1)
LOC134720932,pad_area,46,-0.2265543817923604,0.024232673289522517,0.6423625341709243,Byssal peroxidase-like protein 2
LOC134721315,pad_area,46,0.029513533461468563,0.848904975435327,0.9307721233503129,Glutathione S-transferase Mu 4 (EC 2.5.1.18) (GST class-mu 4) (GSTM4-4) (Glutathione transferase GSTM7-7) (Leukotriene C4 synthase GSTM4) (EC 4.4.1.20)
LOC134695001,pad_area,46,-0.44951036926816385,0.24065597062362737,0.7483258078895136,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p)
