direction,LOC_ID,protein_name,log2FoldChange,padj,T014F,T015F,T016F,T017F,T019F,T021F,T023F,T025F,T026F,T027F,T118F,T119F,T046F,T049F,T052F,T055F,T056F,T057F,T058F,T110F,T111F,T112F,T029F,T030F,T031F,T033F,T034F,T035F,T036F,T037F,T038F,T039F,T040F,T041F,T126F,T127F,T128F,T129F,T130F,T131F,T132F,T133F,T134F,T135F,T136F,T137F
down,LOC134685076,Calcium/manganese antiporter SLC30A10 (Solute carrier family 30 member 10),-0.824,0.0159,4.922,5.036,4.952,5.278,4.9,5.325,4.893,5.014,3.486,5.041,5.241,5.043,3.486,5.368,4.681,5.021,3.486,5.364,4.867,5.523,5.036,5.533,5.366,5.355,5.666,4.928,4.997,5.296,4.82,5.249,5.245,5.203,5.415,4.972,5.4,5.248,5.457,5.193,5.394,5.573,5.483,6.14,5.834,5.438,5.609,5.38
down,LOC134715632,Uncharacterized protein ZK1073.1,-0.824,0.0159,4.416,5.363,4.889,5.542,5.383,5.57,5.179,4.674,5.263,5.271,5.241,5.465,5.487,5.629,5.37,5.273,5.739,4.902,5.048,5.957,6.16,5.698,5.59,6.135,5.421,6.245,6.046,5.17,6.298,4.574,5.823,5.527,5.004,6,5.716,5.957,6.298,5.813,5.876,6.191,5.709,6.249,5.17,5.187,5.534,5.739
down,LOC134715738,NA,-0.853,0.0159,4.702,4.642,4.889,4.941,4.505,4.973,5.241,4.824,4.894,4.611,4.876,4.936,4.927,4.86,5.096,4.696,4.462,4.857,4.763,5.291,4.528,5.302,5.64,5.313,5.278,5.483,5.321,5.17,5.154,5.202,5.245,5.784,4.963,5.152,5.339,5.109,5.655,5.394,5.261,5.278,4.518,5.619,5.857,5.38,4.989,5.479
down,LOC134715512,NA,-0.91,0.00329,7.818,8.502,7.891,7.776,7.178,7.878,7.804,7.778,6.544,7.215,7.759,8.9,8.683,9.052,7.951,9.191,9.818,9.207,8.034,9.15,9.575,9.355,9.753,9.704,9.908,8.57,9.054,9.161,9.197,8.717,10.871,9.325,9.409,8.885,8.02,8.591,9.802,8.653,8.823,8.861,8.537,8.574,8.995,9.006,8.423,8.948
down,LOC134705107,NA,-0.911,0.0429,8.818,9.471,8.838,7.997,7.926,6.981,8.953,9.596,7.927,8.961,8.655,8.653,10.99,9.848,10.418,9.918,9.766,9.675,9.592,9.477,10.627,9.959,8.964,8.854,10.574,8.282,7.687,9.514,10.545,8.204,11.696,8.301,9.913,9.605,9.037,8.758,10.395,9.471,9.685,11.006,10.99,8.646,10.321,8.659,9.045,8.6
down,LOC134705220,NA,-1.115,0.0333,5.106,4.829,4.589,4.536,4.785,4.369,5.21,4.395,4.501,4.345,4.635,4.346,5.579,5.037,5.487,4.56,4.462,4.238,4.442,5.05,5.745,4.842,4.928,5.435,4.875,5.092,5.818,5.55,5.667,4.733,5.346,5.14,4.874,6.696,5.459,5.033,5.305,5.744,4.665,4.497,6.459,4.974,4.901,5.493,5.397,4.814
down,LOC134696498,Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9),-1.189,0.0333,5.264,4.937,5.069,4.884,4.9,5.018,5.869,5.565,4.839,4.817,5.188,5.043,5.315,4.648,5.669,4.923,5.345,5.699,5.408,4.908,5.493,5.788,6.005,6.421,5.421,5.335,6.136,6.267,5.459,5.381,5.136,5.878,3.486,5.511,5.134,5.918,5.305,5.879,4.49,4.497,5.674,6.094,6.66,7.509,6.465,6.084
down,LOC134697233,NA,-1.335,0.0159,5.214,4.408,5.973,4.823,4.655,5.912,4.893,6.246,4.415,4.443,5.64,6.013,6.152,4.794,5.762,4.973,6.071,6.619,5.129,6.177,5.716,6.051,6.436,6.306,6.612,5.845,5.642,6.763,6.249,6.023,6.038,6.27,4.671,5.686,5.85,6.619,6.525,6.077,5.435,5.674,6.537,6.207,6.204,7.79,6.452,6.772
down,LOC134712116,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),-1.336,0.0424,3.486,4.205,5.123,4.349,4.505,4.827,4.715,5.601,4.717,3.486,5.85,5.092,4.927,3.486,5.206,4.399,3.486,4.402,3.486,3.486,5.223,4.551,5.054,5.802,5.666,6.095,5.924,6.342,5.588,4.87,5.192,5.203,4.613,5.066,4.885,5.614,6.816,5.696,4.742,5.434,6.147,5.477,6.373,5.35,5.854,6.143
down,LOC134722878,NA,-1.46,0.0284,5.49,5.707,7.68,7.275,6.111,5.703,8.753,5.407,6.26,5.312,8.053,7.295,6.732,9.105,5.693,8.205,9.269,7.215,6.909,7.594,6.201,9.956,3.486,3.486,7.252,7.866,7.574,9.946,8.519,9.104,10.248,9.613,6.855,8.216,9.033,9.824,8.701,9.698,7.695,6.777,9.149,9.061,7.289,6.16,8.167,8.174
